,Attestation reward,date
0,207831.0,2022-09-15
1,208770.0,2022-09-16
2,210416.0,2022-09-17
3,211156.0,2022-09-18
4,211907.0,2022-09-19
5,212277.0,2022-09-20
6,212316.0,2022-09-21
7,213258.0,2022-09-22
8,213560.0,2022-09-23
9,214311.0,2022-09-24
10,214910.0,2022-09-25
11,214797.0,2022-09-26
12,214928.0,2022-09-27
13,215972.0,2022-09-28
14,216035.0,2022-09-29
15,216389.0,2022-09-30
16,215433.0,2022-10-01
17,217033.0,2022-10-02
18,216602.0,2022-10-03
19,216370.0,2022-10-04
20,216561.0,2022-10-05
21,217470.0,2022-10-06
22,216710.0,2022-10-07
23,218082.0,2022-10-08
24,218613.0,2022-10-09
25,218653.0,2022-10-10
26,218768.0,2022-10-11
27,218925.0,2022-10-12
28,218909.0,2022-10-13
29,219402.0,2022-10-14
30,219595.0,2022-10-15
31,219788.0,2022-10-16
32,219379.0,2022-10-17
33,219849.0,2022-10-18
34,219737.0,2022-10-19
35,220728.0,2022-10-20
36,221456.0,2022-10-21
37,221892.0,2022-10-22
38,222074.0,2022-10-23
39,220245.0,2022-10-24
40,220932.0,2022-10-25
41,222786.0,2022-10-26
42,223243.0,2022-10-27
43,223410.0,2022-10-28
44,223955.0,2022-10-29
45,225242.0,2022-10-30
46,225631.0,2022-10-31
47,224551.0,2022-11-01
48,226321.0,2022-11-02
49,226745.0,2022-11-03
50,227148.0,2022-11-04
51,227383.0,2022-11-05
52,228087.0,2022-11-06
53,228175.0,2022-11-07
54,228350.0,2022-11-08
55,228019.0,2022-11-09
56,228866.0,2022-11-10
57,229068.0,2022-11-11
58,229815.0,2022-11-12
59,230229.0,2022-11-13
60,230105.0,2022-11-14
61,230384.0,2022-11-15
