,attestation_total_reward,date
0,422463.5754920049,2022-09-15
1,423811.297548657,2022-09-16
2,850394.4783064552,2022-09-17
3,426184.2616708945,2022-09-18
4,773904.0372379428,2022-09-19
5,428454.0401807574,2022-09-20
6,535208.533719473,2022-09-21
7,429916.44067372376,2022-09-22
8,430677.9855581643,2022-09-23
9,675114.9308526301,2022-09-24
10,432906.79900117306,2022-09-25
11,844206.9511981063,2022-09-26
12,433847.5385425541,2022-09-27
13,849060.6451246036,2022-09-28
14,435589.9676449929,2022-09-29
15,687973.373185537,2022-09-30
16,435967.56007255916,2022-10-01
17,437670.4551345674,2022-10-02
18,539919.0451994827,2022-10-03
19,437883.65047166526,2022-10-04
20,787653.4192635911,2022-10-05
21,438945.1331775458,2022-10-06
22,874515.5071447638,2022-10-07
23,439905.7851670229,2022-10-08
24,796850.3129513148,2022-10-09
25,440632.34555933665,2022-10-10
26,549230.4114783288,2022-10-11
27,441144.12497274077,2022-10-12
28,441625.30315474124,2022-10-13
29,691001.8790642127,2022-10-14
30,442426.11657799856,2022-10-15
31,862598.5606485755,2022-10-16
32,442703.67057119164,2022-10-17
33,865384.4591211209,2022-10-18
34,444273.61760646576,2022-10-19
35,701731.0630274958,2022-10-20
36,446411.5124312748,2022-10-21
37,447019.51860744465,2022-10-22
38,550532.687894189,2022-10-23
39,445632.69215878926,2022-10-24
40,804655.0625317293,2022-10-25
41,449312.43189510866,2022-10-26
42,900433.9928610438,2022-10-27
43,451341.13732346805,2022-10-28
44,819261.9478412458,2022-10-29
45,454105.37579181517,2022-10-30
46,567963.8481781883,2022-10-31
47,453816.15258693206,2022-11-01
48,456765.40978476166,2022-11-02
49,714685.3299403286,2022-11-03
50,458093.5359301705,2022-11-04
51,893218.0511493454,2022-11-05
52,459484.6755468423,2022-11-06
53,898084.3638650823,2022-11-07
54,460187.2506614932,2022-11-08
55,724105.9266923446,2022-11-09
56,461516.35853187466,2022-11-10
57,462196.90223329235,2022-11-11
58,570419.6744863176,2022-11-12
59,464127.3247540673,2022-11-13
60,838496.7305424806,2022-11-14
61,465502.8698568605,2022-11-15
