,final_total_reward,date
0,319217.00722641527,2022-09-15
1,329558.24348855467,2022-09-16
2,612870.2877795824,2022-09-17
3,327011.3764743628,2022-09-18
4,559425.6154637381,2022-09-19
5,332194.9391066517,2022-09-20
6,405899.2217598489,2022-09-21
7,335756.3902365656,2022-09-22
8,335939.5821819476,2022-09-23
9,502064.3244581534,2022-09-24
10,336164.50417163107,2022-09-25
11,607617.7482340331,2022-09-26
12,333009.12544003344,2022-09-27
13,613553.8746783384,2022-09-28
14,338653.0196558136,2022-09-29
15,511010.38383595657,2022-09-30
16,339474.7495240182,2022-10-01
17,341354.7889025012,2022-10-02
18,409517.82386053127,2022-10-03
19,337108.60201264144,2022-10-04
20,567943.6842976918,2022-10-05
21,338144.4310836794,2022-10-06
22,629630.0831710189,2022-10-07
23,342619.27192634804,2022-10-08
24,581839.6738150201,2022-10-09
25,343469.2542817882,2022-10-10
26,415706.12020513887,2022-10-11
27,340872.58604216285,2022-10-12
28,338212.91656104766,2022-10-13
29,506954.124715685,2022-10-14
30,342938.6609131127,2022-10-15
31,621191.3782583934,2022-10-16
32,344759.33153111284,2022-10-17
33,621136.1242697235,2022-10-18
34,345007.48724751105,2022-10-19
35,513512.5134863587,2022-10-20
36,341704.8267253408,2022-10-21
37,341985.90255723434,2022-10-22
38,414193.7657337929,2022-10-23
39,344665.0252505037,2022-10-24
40,582995.6031189451,2022-10-25
41,349462.0668561739,2022-10-26
42,647299.0063617468,2022-10-27
43,348715.6942286129,2022-10-28
44,589930.0990986957,2022-10-29
45,347022.0486774325,2022-10-30
46,426559.24174165365,2022-10-31
47,350300.4237477541,2022-11-01
48,354394.74308187526,2022-11-02
49,527868.9910546928,2022-11-03
50,355297.3892402701,2022-11-04
51,643203.3650753566,2022-11-05
52,352824.2641482291,2022-11-06
53,640350.5675356085,2022-11-07
54,352927.09709024127,2022-11-08
55,532172.0064815393,2022-11-09
56,357893.0215218039,2022-11-10
57,358566.28588428657,2022-11-11
58,432115.3998029123,2022-11-12
59,358819.829907944,2022-11-13
60,605707.0333582591,2022-11-14
61,354165.99309224787,2022-11-15
