,proposer_total_reward,date
0,0.005749574105621806,2022-09-15
1,0.007951882591282104,2022-09-16
2,0.00804231422836909,2022-09-17
3,0.007975925598368972,2022-09-18
4,0.00804989400081824,2022-09-19
5,0.007979895952737855,2022-09-20
6,0.007854871457311589,2022-09-21
7,0.008002758614305452,2022-09-22
8,0.007974411676404702,2022-09-23
9,0.008044018786260244,2022-09-24
10,0.008008003403746421,2022-09-25
11,0.008015000551490863,2022-09-26
12,0.007932632235374496,2022-09-27
13,0.008003826822547126,2022-09-28
14,0.007886110844431034,2022-09-29
15,0.007945529412838843,2022-09-30
16,0.007827111053402492,2022-10-01
17,0.007933383248863815,2022-10-02
18,0.007902846161718385,2022-10-03
19,0.007840231979965367,2022-10-04
20,0.007871369200372447,2022-10-05
21,0.007844213956211269,2022-10-06
22,0.007875086707560899,2022-10-07
23,0.007838963861969025,2022-10-08
24,0.007904261555908164,2022-10-09
25,0.007812058253437283,2022-10-10
26,0.007842924529368023,2022-10-11
27,0.007854059511950505,2022-10-12
28,0.007796009309206372,2022-10-13
29,0.0078425539682647,2022-10-14
30,0.007819907881845516,2022-10-15
31,0.007871038315323204,2022-10-16
32,0.007791378201235284,2022-10-17
33,0.007863330817067473,2022-10-18
34,0.007721670407655811,2022-10-19
35,0.007774840268264394,2022-10-20
36,0.007686933774967469,2022-10-21
37,0.0076896509464442885,2022-10-22
38,0.007726709125352555,2022-10-23
39,0.00758337485763098,2022-10-24
40,0.0077083236118240216,2022-10-25
41,0.007662045502399238,2022-10-26
42,0.0077346087256469276,2022-10-27
43,0.007630020083641422,2022-10-28
44,0.007649811559861921,2022-10-29
45,0.007645276710754064,2022-10-30
46,0.007616396262713144,2022-10-31
47,0.007539181460298596,2022-11-01
48,0.0075337820894415845,2022-11-02
49,0.007548139533870806,2022-11-03
50,0.007537934197399109,2022-11-04
51,0.007573882266084729,2022-11-05
52,0.007543575702613457,2022-11-06
53,0.007591737103043415,2022-11-07
54,0.0075206862192955855,2022-11-08
55,0.007487405677715077,2022-11-09
56,0.007510924195581962,2022-11-10
57,0.007451860378391545,2022-11-11
58,0.007475104483772767,2022-11-12
59,0.007461196410896138,2022-11-13
60,0.007453961456102783,2022-11-14
61,0.007383377890042163,2022-11-15
